Assignment 1,Points,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
#,Date,Change,,grade,Source Points,Early/Late,Weighted Grade,PointPrintTest,TestsTestSuite,PointAngleSuite:Angle correctly computed for diferent values of X and Y,PointMainTest,PointTranslationTest,PointRadiusTest,PointPrintTest,TestsTestSuite,PointAngleSuite:Angle correctly computed for diferent values of X and Y,PointMainTest,PointTranslationTest,PointRadiusTest
0,Fri Aug 26 14:02:42 EDT 2016,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1,Fri Aug 26 15:23:29 EDT 2016,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2,Fri Aug 26 15:24:23 EDT 2016,0.0,,0.0,,1.0,0.0,,,,,,,,,,,,
3,Fri Aug 26 15:25:00 EDT 2016,0.0,,0.0,,1.0,0.0,,,,,,,,,,,,
4,Fri Aug 26 15:53:18 EDT 2016,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
5,Fri Aug 26 16:01:24 EDT 2016,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
6,Fri Aug 26 16:03:12 EDT 2016,0.0,,0.0,,1.0,0.0,,,,,,,,,,,,
7,Fri Aug 26 16:05:16 EDT 2016,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
8,Fri Aug 26 17:23:00 EDT 2016,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
9,Fri Aug 26 17:26:38 EDT 2016,0.0,,0.0,,1.0,0.0,,,,,,,,,,,,
10,Sat Aug 27 10:12:25 EDT 2016,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
11,Sat Aug 27 17:39:03 EDT 2016,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
12,Sat Aug 27 18:06:18 EDT 2016,17.3,,17.3,,1.0,17.0,0.0,0.0,3.3,0.0,4.0,10.0,,,,,,
13,Sat Aug 27 18:12:10 EDT 2016,-17.3,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
14,Sat Aug 27 18:19:19 EDT 2016,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
15,Sat Aug 27 18:22:58 EDT 2016,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
